Matriz de trazabilidad de requisitos,,,,,,,
,,,,,,,
,,,,,,,
ID DE PROYECTO,NOMBRE PROYECTO,,PREPARADO POR,,FECHA,COD DOCUMENTACION,
RF08,El sistema debe atender consultas de clientes desde WhatsApp Business en tiempo real.,"- Las interacciones deben tener respuesta en menos de 15 segundos en condiciones normales.
- Se debe registrar un historial de la conversación.
- El canal de WhatsApp debe estar disponible 24/7.","Clientes
Vendedores
Dueño",E2 - Núcleo Conversacional ,Alta,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-1
OE-2
OE-4"
RF09,El sistema debe responder en tiempo real consultas operativas sobre la disponibilidad de productos.,"- El sistema deberá permitir consultar disponibilidad actual de productos.
- La información deberá obtenerse desde la integración con el sistema correspondiente.
- Los usuarios deberán poder realizar consultas desde WhatsApp Business.
- El sistema deberá responder automáticamente sin intervención humana.
- Si el sistema no encuentra información suficiente, deberá derivar automáticamente 
la consulta al responsable correspondiente.
- Si un producto no existe, el sistema deberá informarlo claramente al usuario.
- El agente deberá sugerir productos relacionados o alternativas disponibles cuando corresponda.","Vendedores
Empleados de depósito
Supervisores
Dueño","E2 — Núcleo Conversacional      
E7 — Integraciones y Flujos de Trabajo ",Baja,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-1
OE-8"
RF10,El sistema debe consultar automáticamente el estado crediticio de clientes candidatos a ventas financiadas integrándose con Riesgo Online.,"- El sistema deberá consultar automáticamente el estado crediticio del cliente al iniciar una solicitud de 
financiación.
- La consulta deberá realizarse mediante integración con Riesgo Online.
- Si Riesgo Online no responde o presenta fallas, el sistema deberá informar el inconveniente sin bloquear 
completamente la operación.
- El caso deberá derivarse automáticamente para revisión manual.","Área administrativa
Vendedores
Supervisores comerciales
Dueño",E5 — Integraciones y Flujos de Trabajo     ,Media,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-1
OE-2
OE-11
"
RF11,"El sistema deberá ofrecer un módulo de entrevistas guiadas para el supervisor, con el propósito de capturar procedimientos, criterios y excepciones para detallar la base de conocimiento y la gestión de cambios. A partir de esa información estructurará automáticamente módulos de capacitación contextualizados, que el supervisor podrá revisar, editar y aprobar antes de que queden visibles para los empleados.","- El agente deberá formular preguntas automáticamente según el contexto de la conversación.
- Las preguntas deberán adaptarse a las respuestas brindadas previamente por el supervisor.
- El sistema deberá registrar información sobre:
  -tareas operativas
  -decisiones frecuentes
  -validaciones
  -problemas habituales
  -excepciones del proceso.
- Toda la información deberá almacenarse automáticamente en la base de conocimiento.
- El supervisor deberá poder revisar, editar y aprobar el contenido generado antes de publicarlo.
- Ningún módulo de capacitación será visible para empleados sin validación previa.","Supervisores
Responsables de área
Nuevos empleados
Dueño",E7 — Módulos de Cobranzas y Capacitación        ,Media,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-3
OE-5
OE-6"
RF12,"El sistema debe distinguir los mensajes de WhastApp de clientes externos de los empleados internos, adaptando los agentes disponibles y la confidencialidad de las respuestas según el tipo de usuario.","- El sistema deberá validar automáticamente si el número pertenece a un empleado autorizado.
- Los empleados deberán tener acceso a los agentes especializados de su área correspondiente.
- Los clientes deberán acceder únicamente a los agentes de Ventas y Cobranzas.
- La clasificación del usuario deberá mantenerse durante toda la conversación.
- La información interna deberá ser accesible únicamente para empleados.
- El sistema deberá restringir automáticamente las consultas no autorizadas.","Supervisores
Dueño
Vendedores
Área administrativa
Clientes","E2 — Núcleo conversacional - 
E4 — Panel Web de Gobernanza y Supervisión - 
E3 — Base de Conocimiento Dinámica 
(Motor RAG) 


      ",Alta,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-8
OE-10"
RF13,"El sistema debe gestionar un flujo completo de evaluación de venta financiada como una colaboración entre el agente de Ventas, el agente Administrativo y un supervisor humano, sin exponer al cliente externo detalles internos del proceso de verificación crediticia.","- El agente de Ventas deberá recopilar la información necesaria para solicitudes de financiación. 
- El agente Administrativo deberá verificar automáticamente la situación crediticia del cliente. 
- El sistema deberá clasificar el resultado de la evaluación como aprobado, rechazado o sujeto a revisión. 
- El cliente no deberá visualizar información interna del análisis crediticio. 
- El sistema deberá derivar automáticamente cada solicitud de financiación a un supervisor humano. 
- El supervisor deberá poder confirmar o modificar el resultado propuesto. 
- El sistema deberá registrar cada etapa del proceso para fines de auditoría y trazabilidad.","Vendedores 
Área administrativa
Supervisores comerciales
Dueño
Clientes","E7 — Módulos de Cobranzas y Capacitación -
E4 — Panel Web de Gobernanza y Supervisión - 
        
",Media,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-1
OE-2
OE-11
"
RF14,El sistema debe aceptar consultas tanto en formato de texto como en mensajes de audio enviados por WhatsApp o cargados en el sitio web.,"- El sistema deberá aceptar mensajes de audio. 
- El sistema deberá transcribir automáticamente los mensajes de audio recibidos. 
- Los archivos de audio deberán eliminarse una vez completada la transcripción. 
- El sistema deberá conservar únicamente la transcripción asociada a la conversación. 
- Ante errores o ambigüedades en la transcripción, el sistema deberá solicitar una reformulación por texto. 
- El sistema deberá admitir audios únicamente como mecanismo de entrada. 
- Todas las respuestas generadas deberán entregarse en formato texto.","Clientes
Vendedores
Empleados
Supervisores
Dueño",E6- Cobranzas y Capacitación (soporte de audio),Baja,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-1
OE-4
OE-8"
RNF-01,"Los agentes deben responder consultas operativas frecuentes en tiempos que no interrumpan el flujo de trabajo del empleado.","- El 90% de las consultas sobre stock y estados crediticios reciben respuesta en menos de 30 segundos.
- Las derivaciones a responsables humanos se notifican en menos de 2 minutos.
- El tiempo de respuesta no supera los 30 segundos ni en picos de consultas simultáneas.
- El sistema mantiene disponibilidad superior al 99% en días y horarios hábiles.","Vendedores
Empleados de depósito
Área administrativa","E2 - Núcleo Conversacional -
E10- Despliegue y Validación
",Baja,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-7
OE-8"
RNF-02,"El sistema debe garantizar que la información sensible (datos crediticios, condiciones de financiación, datos de clientes) solo sea accesible por usuarios autorizados según su rol dentro de la organización.","- Cada usuario accede únicamente a la información correspondiente a su rol.
- Los datos crediticios de clientes no son visibles en conversaciones de WhatsApp con terceros.
- El sistema registra log de accesos con usuario, fecha y tipo de consulta.
- No es posible acceder a la plataforma sin autenticación previa.","Dueño / Dirección
Supervisores
Área administrativa
Clientes ","
E2 — Núcleo conversacional - 
E4 — Panel Web de Gobernanza y Supervisión - 
E3 — Base de Conocimiento Dinámica 
(Motor RAG) 
",Alta,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros
Chibilisco Vicente 
López Emmanuel ","OE-10
OE-11"
RNF-03,"Las respuestas generadas por la IA deben ser suficientemente precisas y contextualizadas para no inducir a error en decisiones operativas, comerciales o financieras.","- La tasa de respuestas incorrectas en consultas operativas frecuentes no supera el 5% en pruebas controladas.
- Cuando la IA no tiene certeza suficiente, deriva al responsable humano en lugar de inventar una respuesta.
- Las respuestas sobre condiciones de financiación coinciden con los datos vigentes en el sistema, estas respuestas se entregan sólo a los empleados.
- El equipo puede reportar respuestas incorrectas y la corrección se incorpora a la base en menos de 48 horas.","Vendedores
Área administrativa
Supervisores
Dueño 
Clientes","E3 — Base de Conocimiento Dinámica 
(Motor RAG) ",Media,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros
Chibilisco Vicente 
López Emmanuel ","OE-5
OE-6
OE-7"
RNF-04,"La plataforma debe operar como capa complementaria sin modificar ni comprometer la lógica interna de los sistemas existentes (Paljet, CRM, Riesgo Online), manteniendo arquitectura desacoplada.","- Una falla en la plataforma TrimIA no interrumpe la operación de Paljet, el CRM ni Riesgo Online.
- Las integraciones son de solo lectura para Paljet y Riesgo Online (sin escritura sobre datos transaccionales).
- El sistema puede desconectarse de una integración sin afectar el funcionamiento de los demás agentes.
- No requiere modificaciones en el código ni en la configuración de los sistemas existentes.",Dueño,E7 — Integraciones y Flujos de Trabajo     ,Baja,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-8
OE-9
"
RI-01,El sistema debe conectarse con Paljet para consultar en tiempo real disponibilidad de stock sin modificar los datos del sistema.,"- La integración opera en modo solo lectura sin posibilidad de modificar registros en Paljet.
- Ante falla de conexión con Paljet, el agente informa al usuario que no puede obtener la información en ese momento.
- El sistema deberá permitir consultar disponibilidad de productos.
- El sistema deberá bloquear consultas de usuarios no autorizados.","Empleados de Deposito
Empleados de Logística
Supervisores
Clientes
Dueño ",E7 — Integraciones y Flujos de Trabajo     ,Baja,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-1
OE-8"
RI-02,"El sistema debe integrarse con Riesgo Online para verificar el estado crediticio de clientes candidatos a ventas financiadas, automatizando un proceso actualmente manual.","- La consulta se completa en menos de 30 segundos en condiciones normales de red.
- El acceso queda registrado con trazabilidad completa (usuario, fecha, cliente consultado).
- La integración opera en modo solo lectura sin escritura sobre Riesgo Online.","Vendedores
Clientes
Área Administrativa
Dueño",E7 — Integraciones y Flujos de Trabajo     ,Media,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-1
OE-2"
RI-03,"El sistema debe registrar clientes potenciales, almacenar historiales de seguimiento comercial y consultar información básica de clientes en el CRM, automatizando la carga de datos que actualmente se realiza manualmente.","- El 100% de los prospectos atendidos por el agente quedan registrados en el CRM sin acción manual.
- El historial de cada interacción se actualiza en el CRM en menos de 5 minutos de ocurrida.
- Los vendedores pueden consultar el historial del prospecto desde el CRM en cualquier momento.
- El sistema puede leer datos del CRM para personalizar el seguimiento sin duplicar registros.","Clientes
Vendedores
Dueño",E7 — Integraciones y Flujos de Trabajo     ,Alta,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-1
OE-2"
RI-04,"El sistema debe integrarse con la API de WhatsApp Business de Meta para gestionar conversaciones de seguimiento comercial y cobranzas mediante ese canal, respetando las políticas de uso de la plataforma.","- Los mensajes enviados por el agente cumplen con las plantillas aprobadas por Meta.
- El canal responde con disponibilidad mayor al 99% en horario hábil.
- Los opt-outs de clientes son procesados automáticamente y el agente deja de contactarlos.
- Los mensajes enviados quedan registrados con fecha, hora y estado de entrega.","Clientes
Empleados
Supervisores
Dueño",E2 - Núcleo Conversacional,Alta,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-2
OE-4
OE-9"
